matrix_size,	elapsed_time
563,	0.035520
564,	0.034395
565,	0.046309
566,	0.051135
567,	0.047885
568,	0.030480
569,	0.054781
570,	0.052969
571,	0.070717
572,	0.030828
573,	0.033808
574,	0.045060
575,	0.055171
576,	0.035908
577,	0.048378
578,	0.036294
579,	0.037048
580,	0.030619
581,	0.033830
582,	0.030873
583,	0.039266
584,	0.035971
585,	0.037910
586,	0.041912
587,	0.032670
588,	0.032036
589,	0.042053
590,	0.032870
591,	0.058362
592,	0.038740
593,	0.037180
594,	0.033892
595,	0.033986
596,	0.039059
597,	0.040913
598,	0.036599
599,	0.042217
600,	0.033338
601,	0.040194
602,	0.039937
603,	0.035851
604,	0.035436
605,	0.035872
606,	0.071196
607,	0.067383
608,	0.048217
609,	0.039184
610,	0.042967
611,	0.040773
612,	0.054619
613,	0.042680
614,	0.039192
615,	0.058986
616,	0.038777
617,	0.042712
618,	0.046232
619,	0.037456
620,	0.037356
621,	0.055021
622,	0.052992
623,	0.069491
624,	0.051255
625,	0.052349
626,	0.041261
627,	0.055239
628,	0.071286
629,	0.052656
630,	0.059638
631,	0.040620
632,	0.053074
633,	0.086408
634,	0.071472
635,	0.064773
636,	0.057242
637,	0.054346
638,	0.084788
639,	0.059395
640,	0.070145
641,	0.085717
642,	0.055489
643,	0.070380
644,	0.063476
645,	0.081463
646,	0.068777
647,	0.072215
648,	0.083106
649,	0.091780
650,	0.063756
651,	0.073245
652,	0.148230
653,	0.166543
654,	0.125348
655,	0.179973
656,	0.125970
657,	0.116942
658,	0.131922
659,	0.128963
660,	0.132368
661,	0.127757
662,	0.161345
663,	0.136463
664,	0.061902
665,	0.068762
666,	0.077407
667,	0.147056
668,	0.138067
669,	0.143341
670,	0.154566
671,	0.149227
672,	0.071869
673,	0.064071
674,	0.126728
675,	0.150239
676,	0.053070
677,	0.129490
678,	0.066844
679,	0.138037
680,	0.101814
681,	0.060198
682,	0.084011
683,	0.050453
684,	0.058490
685,	0.067500
686,	0.097525
687,	0.094622
688,	0.059086
689,	0.054201
690,	0.060471
691,	0.057846
