matrix_size,	elapsed_time
883,	0.102247
884,	0.106139
885,	0.107317
886,	0.101395
887,	0.112844
888,	0.103686
889,	0.106840
890,	0.101655
891,	0.125533
892,	0.137073
893,	0.112572
894,	0.126831
895,	0.116392
896,	0.111634
897,	0.112413
898,	0.110015
899,	0.111865
900,	0.107081
901,	0.111497
902,	0.108002
903,	0.110712
904,	0.108843
905,	0.111353
906,	0.111902
907,	0.112316
908,	0.112332
909,	0.113148
910,	0.114473
911,	0.111672
912,	0.111626
913,	0.112242
914,	0.111136
915,	0.114353
916,	0.113296
917,	0.116722
918,	0.114019
919,	0.119190
920,	0.114879
921,	0.121628
922,	0.117405
923,	0.141746
924,	0.118567
925,	0.119871
926,	0.116994
927,	0.118930
928,	0.117793
929,	0.121041
930,	0.119653
931,	0.122660
932,	0.124705
933,	0.129515
934,	0.121427
935,	0.122832
936,	0.122253
937,	0.131388
938,	0.123000
939,	0.125687
940,	0.123841
941,	0.127543
942,	0.125576
943,	0.157044
944,	0.125792
945,	0.126183
946,	0.121677
947,	0.153543
948,	0.122888
949,	0.132661
950,	0.124981
951,	0.129493
952,	0.143530
953,	0.132620
954,	0.129436
955,	0.130755
956,	0.128196
957,	0.129939
958,	0.130760
959,	0.135124
960,	0.133625
961,	0.135336
962,	0.159213
963,	0.207363
964,	0.144424
965,	0.135087
966,	0.132085
967,	0.136714
968,	0.155480
969,	0.137058
970,	0.135848
971,	0.138428
972,	0.132541
973,	0.135435
974,	0.134764
975,	0.137901
976,	0.161270
977,	0.170374
978,	0.151370
979,	0.147469
980,	0.142667
981,	0.148258
982,	0.140202
983,	0.143379
984,	0.139041
985,	0.144215
986,	0.146251
987,	0.145132
988,	0.141072
989,	0.145570
990,	0.143876
991,	0.164040
992,	0.152437
993,	0.147332
994,	0.144032
995,	0.145027
996,	0.142934
997,	0.149295
998,	0.144980
999,	0.146884
